,Standard,Profits_Only,Tech_Adjusted,Corrected_Hybrid,Profits_Only_vs_Standard,Tech_Adjusted_vs_Standard,Corrected_Hybrid_vs_Standard
FI,84.04919059271833,87.1544478464483,103.07376498920753,105.80366069503718,3.105257253729974,19.0245743964892,21.754470102318848
HR,29.497273205683967,22.810565317451246,34.5675671738507,26.858172967451832,-6.686707888232721,5.07029396816673,-2.6391002382321354
ID,940.0436246445903,1080.211304560528,762.5527480328974,885.1655433273356,140.1676799159378,-177.4908766116929,-54.87808131725467
US,6523.391256532314,6327.170184685465,6647.390658150141,6438.429018797965,-196.22107184684955,123.99940161782615,-84.9622377343494
SK,44.90580162424895,50.0739021224393,54.60852319283632,61.059390058986885,5.1681004981903484,9.702721568587371,16.153588434737934
ES,382.7209785198867,417.0500524353428,540.0266476789085,578.671451223828,34.32907391545609,157.30566915902176,195.95047270394122
CH,230.84238361469116,233.98242865510767,260.63200910205893,260.41492891553827,3.14004504041651,29.789625487367772,29.57254530084711
KR,893.861682966528,1005.1317593953587,982.3166086702117,1075.2666065356277,111.27007642883075,88.45492570368378,181.40492356909976
MX,581.5146273178622,724.2721927375312,542.0031032234837,680.9464336927329,142.75756541966905,-39.5115240943785,99.43180637487069
ZA,303.7441298693735,273.96287080842035,187.308260147753,172.1625067766315,-29.781259060953175,-116.43586972162052,-131.58162309274203
HU,65.8933225567259,63.6255716131272,79.2434470622667,76.3424759141051,-2.267750943598706,13.35012450554079,10.449153357379188
PL,285.68457782195424,359.0260845538391,322.29193661062857,403.7720333088379,73.34150673188486,36.60735878867433,118.08745548688364
LU,23.637548208397867,27.451949843729416,29.108813388274317,33.33236884073047,3.8144016353315493,5.4712651798764504,9.6948206323326
WA,3067.7593836167325,2485.5183425757323,2479.7714443171017,2083.3777915782466,-582.2410410410002,-587.9879392996309,-984.3815920384859
AT,125.28260195847842,125.6732088872636,165.00268614858243,164.81374508757062,0.390606928785175,39.720084190104004,39.5311431290922
WF,1881.8281308268938,2004.5058745560214,1221.906881915556,1358.7503072057661,122.67774372912754,-659.9212489113379,-523.0778236211277
PT,79.21621769658917,80.46422398619242,106.61137894510279,107.40778028146849,1.2480062896032535,27.395161248513617,28.19156258487932
TR,483.4540713089458,556.3888952450022,457.16651605455695,525.255953505233,72.93482393605643,-26.28755525438885,41.80188219628724
WM,2445.2802593575784,3154.9906702059898,1979.301622578551,2674.6252136531,709.7104108484114,-465.9786367790275,229.3449542955218
LT,27.204414008389733,32.03060002479896,29.916683522556436,35.27494420497301,4.826186016409224,2.712269514166703,8.070530196583277
SE,129.95606187937688,113.14308118938533,174.55191312313585,152.06026610934896,-16.812980689991548,44.59585124375897,22.104204229972083
CN,11458.484127865266,11015.515371924761,11987.344363009952,11467.667061017624,-442.9687559405047,528.8602351446862,9.1829331523586
NO,102.97947598531104,99.96850089684042,142.3761638124767,138.67137346028608,-3.010975088470616,39.396687827165664,35.691897474975036
CZ,116.21255028581375,113.32468034911241,152.82564206332106,148.66298126491031,-2.8878699367013354,36.61309177750731,32.450430979096566
TW,307.3527245124532,419.48912203026407,271.21463759730017,367.9215383971264,112.13639751781085,-36.13808691515305,60.568813884673204
BR,1060.1564194321231,1067.1319685157575,869.3456819354892,882.7306754329173,6.975549083634405,-190.81073749663392,-177.4257439992058
SI,21.0489438413668,18.83794470601787,26.468961976443467,23.4965197509244,-2.2109991353489313,5.420018135076667,2.4475759095575995
LV,15.116320933526001,13.793630136653663,17.986622616319316,16.202195276157237,-1.3226907968723385,2.8703016827933148,1.0858743426312358
IN,2904.2156109790785,2825.3933443705837,1996.0919105723988,1951.1257820948658,-78.82226660849483,-908.1237004066797,-953.0898288842127
BE,173.93246998330414,180.99397466373992,207.00945289586227,212.68837925221462,7.061504680435775,33.07698291255812,38.75590926891047
CY,13.750611520744908,13.35410329142039,15.878031834449484,15.21301920454544,-0.39650822932451746,2.127420313704576,1.4624076838005315
GR,116.81771014898618,132.02466189330931,115.80849252003513,132.34949160513864,15.206951744323135,-1.009217628951049,15.531781456152459
JP,1686.3969420355777,1401.7107930892894,2501.341825300303,2165.755293770328,-284.6861489462883,814.9448832647251,479.3583517347504
NL,303.5492733481985,330.9950849101963,355.5737218581958,382.43563400495384,27.4458115619978,52.02444850999734,78.88636065675536
IT,569.8352072827283,564.6517337974016,941.4783875568601,927.1455315728977,-5.183473485326772,371.64318027413174,357.3103242901693
IE,137.9124709157358,205.5793666755945,174.63841216522124,249.96579595147156,67.6668957598587,36.72594124948543,112.05332503573575
DE,1222.3023816991383,998.2969137154274,1488.353987626407,1237.2854491196374,-224.0054679837109,266.0516059272686,14.983067420499083
FR,688.2251400955803,718.9911925169408,897.1895224343369,919.7422852095261,30.76605242136054,208.96438233875665,231.51714511394584
GB,740.0341450653293,789.7460095250935,1048.0743168613617,1105.6808267303968,49.71186445976423,308.0401717960324,365.6466816650675
RU,1519.7814871858634,1627.1992053240226,1363.9864344561029,1463.562884809156,107.41771813815922,-155.79505272976053,-56.218602376707395
DK,102.4554667622347,62.41649626986436,116.4494295301984,73.10592245214976,-40.038970492370346,13.993962767963694,-29.34954431008495
EE,13.228334862302209,12.703004344036922,15.842664206861885,15.087443144399224,-0.525330518265287,2.6143293445596765,1.859108282097015
WL,1250.4686675652736,1292.9053049818426,1126.6352216386404,1169.6052388601513,42.436637416569056,-123.8334459266332,-80.86342870512226
BG,37.171659460245984,37.111301670523254,37.41885132458,37.1824132170397,-0.06035778972272965,0.2471918643340132,0.010753756793718594
AU,562.855152011116,585.511388893619,725.6226995956125,740.1509831649338,22.65623688250298,162.76754758449647,177.29583115381774
MT,6.131384759189336,8.803162338054577,7.129505824746265,10.146967956187174,2.6717775788652407,0.998121065556929,4.015583196997838
CA,566.3300725910814,634.1401975153925,574.4794688094565,641.3411289054075,67.81012492431114,8.14939621837516,75.01105631432608
RO,101.0623164829297,116.70250737321308,130.3588883795033,146.88263797689615,15.640190890283378,29.296571896573596,45.820321493966446
WE,284.2783625065344,199.9237912808399,249.10883257456322,173.78929872189525,-84.35457122569449,-35.16952993197117,-110.48906378463914
