country,sector,va_coeff,em_intensity,total_emissions,output,fuel
WA,Production of electricity by coal,0.17225753443992903,27766.330283136318,487679655.7555028,17563.7057826,coal
WM,Production of electricity by gas,0.13593074839337402,17347.495610431808,442292792.2067784,25496.0601887,gas
WA,Cultivation of paddy rice,0.1235851156945288,9913.924177713994,382432959.9119069,38575.336371,other
CN,Chemicals nec,0.16956053182069497,668.2500197664472,353942057.5077686,529655.139601,other
CN,Cultivation of paddy rice,0.10013084996896979,1964.017052319778,268647876.4651628,136784.900186,other
JP,Production of electricity by coal,0.09106442974678032,8283.090474059874,224279122.20338193,27076.7442304,coal
KR,Production of electricity by coal,0.10423598527199429,13937.077715813439,163953795.91142648,11763.8574782,coal
WM,Production of electricity by petroleum and other oil derivatives,0.041892304160360765,20950.882130075905,198602490.77722713,9479.43335007,oil
WL,Production of electricity by petroleum and other oil derivatives,0.10038295510116095,19453.16091475878,36689967.13334635,1886.06711753,oil
MX,Production of electricity by petroleum and other oil derivatives,0.02165329195858275,16761.22456215389,29765990.320374686,1775.88398807,oil
WA,Production of electricity by gas,0.1491946120975836,13892.469999087947,237280713.1269624,17079.8074887,gas
CN,Production of electricity by gas,0.15645035597618462,5295.96323628199,140451950.89524254,26520.5675774,gas
AT,Processed rice,0.9903027071279318,12.396862777397173,115.94332078225051,9.35263403848,other
AT,"Manufacture of fabricated metal products, except machinery and equipment (28)",0.6442206786273679,8.83682230914953,201226.27638631803,22771.3389889,other
AT,Production of electricity by hydro,0.7163265664494458,0.057214695746752225,177.01944913285737,3093.95072057,renewable
AT,Production of electricity by wind,0.6093695657614877,0.41046402501002016,200.19459091550158,487.727495511,renewable
AT,Production of electricity by solar photovoltaic,0.5914075122723428,0.0032199107812455737,0.46127044520000005,143.255660339,renewable
FR,"Biogasification of sewage slugde, incl. land application",0.4014734014815056,54.60425692471811,123589.58319357883,2263.36901469,gas
DE,Incineration of waste: Metals and Inert materials,0.42830202712265497,29.32845766552859,181961.54707449806,6204.26580728,other
EE,Paper,0.3154190887869421,15.436522436441104,23687.366491583554,1534.50147785,other
ZA,Renting of machinery and equipment without operator and of personal and household goods (71),0.5069154103620859,25.998495193020055,48037.029590975246,1847.68500001,other
BR,"Manufacture of bricks, tiles and construction products, in baked clay",0.31300595245293,464.92342766175216,96039.44757587751,206.570462708,other
