EXIOBASE3_Code,Population_2022,Source
AT,9041851.0,World Bank (2022)
BE,11680210.0,World Bank (2022)
BG,6643324.0,World Bank (2022)
CY,1331370.0,World Bank (2022)
CZ,10672118.0,World Bank (2022)
DE,83797985.0,World Bank (2022)
DK,5903037.0,World Bank (2022)
EE,1348840.0,World Bank (2022)
ES,47759127.0,World Bank (2022)
FI,5556106.0,World Bank (2022)
FR,68065015.0,World Bank (2022)
GR,10436882.0,World Bank (2022)
HR,3855641.0,World Bank (2022)
HU,9644377.0,World Bank (2022)
IE,5165700.0,World Bank (2022)
IT,59013667.0,World Bank (2022)
LT,2831639.0,World Bank (2022)
LU,653103.0,World Bank (2022)
LV,1879383.0,World Bank (2022)
MT,531511.0,World Bank (2022)
NL,17700982.0,World Bank (2022)
PL,36821749.0,World Bank (2022)
PT,10434332.0,World Bank (2022)
RO,19048502.0,World Bank (2022)
SE,10486941.0,World Bank (2022)
SI,2112076.0,World Bank (2022)
SK,5431752.0,World Bank (2022)
GB,67791000.0,World Bank (2022)
US,333271411.0,World Bank (2022)
JP,125124989.0,World Bank (2022)
CN,1412175000.0,World Bank (2022)
CA,38939056.0,World Bank (2022)
KR,51672569.0,World Bank (2022)
BR,210306415.0,World Bank (2022)
IN,1425423212.0,World Bank (2022)
MX,128613117.0,World Bank (2022)
RU,144236933.0,World Bank (2022)
AU,26014399.0,World Bank (2022)
CH,8777088.0,World Bank (2022)
TR,84979913.0,World Bank (2022)
TW,23894394.0,Taiwan National Statistics (2022)
NO,5457127.0,World Bank (2022)
ID,278830529.0,World Bank (2022)
ZA,62378410.0,World Bank (2022)
WA,1065725920.5,Sum of constituent countries (see details file)
WL,315162532.0,Sum of constituent countries (see details file)
WE,70586087.0,Sum of constituent countries (see details file)
WF,1260846439.0,Sum of constituent countries (see details file)
WM,394252056.0,Sum of constituent countries (see details file)
